<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115670,115750,115660,115690
25/09/18,115690,115700,115610,115630
25/09/18,115630,115650,115580,115600
25/09/18,115590,115620,115520,115620
25/09/18,115610,115670,115580,115670
25/09/18,115680,115710,115670,115680
25/09/18,115690,115740,115690,115720
25/09/18,115730,115740,115690,115700
25/09/18,115700,115730,115670,115720
25/09/18,115720,115770,115710,115730
25/09/18,115730,115800,115730,115760
25/09/18,115750,115790,115740,115750
25/09/18,115750,115760,115710,115720
25/09/18,115720,115780,115650,115650
25/09/18,115650,115670,115530,115530
25/09/18,115520,115560,115430,115550
25/09/18,115550,115590,115480,115520
25/09/18,115530,115540,115400,115440
25/09/18,115440,115470,115410,115470
25/09/18,115460,115520,115450,115500
25/09/18,115520,115560,115490,115530
25/09/18,115520,115580,115520,115550
25/09/18,115570,115650,115560,115620
25/09/18,115610,115670,115600,115650
25/09/18,115650,115750,115630,115750
25/09/18,115750,115760,115660,115660
25/09/18,115660,115710,115660,115680
25/09/18,115690,115720,115650,115710
25/09/18,115720,115750,115680,115700
25/09/18,115700,115730,115640,115640
25/09/18,115650,115650,115580,115630
25/09/18,115640,115700,115620,115700
25/09/18,115690,115720,115670,115720
25/09/18,115710,115710,115660,115670
25/09/18,115660,115670,115610,115610
25/09/18,115620,115640,115580,115600
25/09/18,115600,115610,115510,115550
25/09/18,115550,115650,115540,115630
25/09/18,115620,115680,115590,115620
25/09/18,115640,115650,115600,115630
25/09/18,115640,115690,115630,115640
25/09/18,115630,115690,115620,115690
25/09/18,115680,115700,115650,115680
25/09/18,115690,115720,115680,115710
25/09/18,115700,115760,115660,115690
25/09/18,115690,115740,115670,115720
25/09/18,115720,115720,115650,115670
25/09/18,115680,115700,115590,115620
25/09/18,115620,115670,115590,115650
25/09/18,115650,115680,115620,115630
25/09/18,115620,115620,115570,115600
25/09/18,115600,115630,115590,115620
25/09/18,115620,115630,115560,115560
25/09/18,115560,115570,115500,115550
25/09/18,115550,115570,115470,115490
25/09/18,115490,115510,115450,115480
25/09/18,115480,115570,115480,115540
25/09/18,115540,115570,115500,115530
25/09/18,115520,115530,115490,115510
25/09/18,115520,115520,115430,115430
25/09/18,115510,115550,115310,115420
25/09/18,115420,115460,115400,115460
25/09/18,115450,115450,115410,115430
25/09/18,115430,115450,115420,115450
25/09/18,115450,115480,115450,115480
25/09/18,115480,115500,115460,115500
25/09/18,115500,115540,115470,115480
25/09/18,115500,115510,115480,115480
25/09/18,115500,115500,115470,115490
25/09/18,115490,115520,115480,115520
25/09/18,115510,115520,115440,115490
25/09/18,115490,115490,115470,115490
25/09/18,115480,115480,115450,115450
25/09/18,115470,115480,115450,115460
25/09/18,115460,115490,115450,115470
25/09/18,115460,115470,115450,115460
25/09/18,115470,115500,115470,115470
25/09/18,115470,115480,115470,115480
25/09/18,115470,115470,115430,115440
25/09/18,115430,115460,115420,115440
25/09/18,115440,115440,115410,115410
25/09/18,115430,115440,115400,115420
25/09/18,115410,115410,115380,115390
25/09/18,115410,115430,115400,115420
25/09/18,115400,115420,115390,115400
25/09/18,115400,115420,115390,115400
25/09/18,115400,115430,115390,115410
25/09/18,115400,115400,115370,115390
25/09/18,115380,115380,115350,115380
25/09/18,115370,115370,115350,115350
25/09/18,115370,115380,115350,115360
25/09/18,115360,115360,115340,115340
25/09/18,115350,115350,115240,115270
25/09/18,115260,115300,115260,115290
25/09/18,115290,115290,115220,115240
25/09/18,115240,115310,115230,115300
25/09/18,115310,115410,115300,115410
25/09/18,115400,115490,115400,115460
25/09/18,115460,115480,115430,115450
25/09/18,115450,115450,115390,115420
25/09/18,115420,115450,115420,115440
25/09/18,115430,115460,115430,115460
25/09/18,115450,115450,115420,115440
25/09/18,115450,115450,115400,115430
25/09/18,115440,115460,115430,115460
25/09/18,115470,115470,115410,115410
25/09/18,115420,115450,115420,115440
25/09/18,115450,115480,115450,115480
25/09/18,115480,115480,115450,115460
25/09/18,115460,115550,115460,115500
25/09/18,115510,115540,115490,115510
25/09/18,115510,115540,115500,115530
25/09/18,115530,115530,115510,115510
25/09/18,115520,115580,115520,115580
25/09/18,115580,115580,115560,115560
25/09/18,115560,115590,115550,115570
25/09/18,115580,115590,115550,115550
25/09/18,115550,115590,115550,115580
25/09/18,115570,115640,115560,115630
25/09/18,115610,115630,115590,115600
25/09/18,115620,115630,115600,115600
25/09/18,115610,115620,115590,115590
25/09/18,115590,115600,115580,115590
25/09/18,115600,115620,115580,115590
25/09/18,115590,115590,115540,115540
25/09/18,115550,115560,115500,115500
25/09/18,115500,115500,115460,115480
25/09/18,115480,115510,115480,115510
25/09/18,115510,115540,115510,115520
25/09/18,115510,115530,115490,115510
25/09/18,115510,115510,115470,115490
25/09/18,115480,115520,115440,115520
25/09/18,115510,115520,115490,115490
25/09/18,115500,115520,115480,115480
25/09/18,115480,115500,115470,115490
